country,cluster
Afghanistan,0
Albania,0
Algeria,0
Argentina,1
Australia,1
Austria,1
Barbados,1
Belarus,0
Belgium,1
Benin,1
Bolivia,1
Botswana,1
Brazil,1
Bulgaria,0
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,1
Central African Republic,1
Chad,0
Chile,1
Colombia,1
Congo - Brazzaville,0
Congo - Kinshasa,0
Costa Rica,1
Cuba,0
Cyprus,0
Czechoslovakia,0
Côte d’Ivoire,1
Denmark,1
Dominican Republic,1
Ecuador,1
Egypt,0
El Salvador,1
Equatorial Guinea,0
Eswatini,1
Ethiopia,0
Finland,1
France,1
Gabon,1
Gambia,1
Ghana,0
Greece,1
Guatemala,1
Guinea,0
Guyana,1
Haiti,1
Honduras,1
Hungary,0
Iceland,1
India,0
Indonesia,0
Iran,1
Iraq,0
Ireland,1
Israel,1
Italy,1
Jamaica,1
Japan,1
Jordan,0
Kenya,0
Kuwait,0
Laos,1
Lebanon,0
Lesotho,1
Liberia,1
Libya,0
Luxembourg,1
Madagascar,1
Malawi,1
Malaysia,1
Maldives,1
Mali,0
Malta,1
Mauritania,0
Mauritius,1
Mexico,1
Mongolia,0
Morocco,0
Myanmar (Burma),0
Nepal,0
Netherlands,1
New Zealand,1
Nicaragua,1
Niger,1
Nigeria,0
Norway,1
Pakistan,0
Panama,1
Paraguay,1
Peru,1
Philippines,1
Poland,0
Portugal,1
Romania,0
Russia,0
Rwanda,1
Saudi Arabia,0
Senegal,0
Sierra Leone,0
Singapore,0
Somalia,0
South Africa,1
Spain,1
Sri Lanka,0
Sudan,0
Sweden,1
Syria,0
Taiwan,1
Tanzania,0
Thailand,1
Togo,0
Trinidad & Tobago,1
Tunisia,0
Turkey,1
Uganda,0
Ukraine,0
United Kingdom,1
United States,1
Uruguay,1
Venezuela,1
Yemen Arab Republic,0
Yemen People's Republic,0
Yugoslavia,0
Zambia,0
Zanzibar,1
